Decade,Year,Name,Image,ImageDescription,Image2,Image3,ImageDescription2,ImageDescription3,Country1,Country2,Country3,Country4,Flag1,Flag2,Flag3,Flag4,NameOther,Tons burthen,Complement,Armament,Builder,Launched,Length,Propulsion,Laid down,Fate,Class,Sail plan,Port of registry,Namesake,Owner,In service,Out of service,Completed,Captured,Acquired,Commissioned,Honours andawards,Beam,Draught,Depth of hold,Ordered,Renamed,Decommissioned,Homeport,Type,Displacement,Draft,Range,Masts:,Foremast:,Mainmast:,Mizzenmast:,Other masts:,ClassRate
1750,1750,Ruby (1758 ship),,,,,,,,,,,,,,, Ruby,,, 6 cannons,,,,,," Wrecked on December 16, 1758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,1751,Swallow (1751 brigantine),,,,,,,,,,,,,,, Swallow,,,,,1751,,,,,,,,, Thomas Satterthwaite&Charles Inman,,,,,1751,,,,,,,,,,,,,,,,,,,
1750,1754,HMS Grenville (1754),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Grenville, 67 tons,, 12 guns,,1754,,,, Broken up in March 1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,1756,French ship Bien-Aimé (1756),,,,,,,France,,,,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_France_%281814%E2%80%931830%29.svg/42px-Flag_of_France_%281814%E2%80%931830%29.svg.png,,,, Bien-Aimé, 1490 tonnes,, 58 to 68 guns,, 24 August 1756,,,, Wrecked,, Full-rigged ship,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,1758,Mentor (1776 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,,," 200,or 240,2(bm)",, 6 × 3-pounder guns (1781-1783), Philadelphia,1758,,,, Condemned 1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,1759,Molly (1759 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Molly," 273, or 290, or 300 (bm)",, 1781: 6 × 6-pounder + 6 × 9-pounder guns1794: 6 × 6-pounder guns,,1759,,,,,,,,,,,,,1806,,,,,,,,,,,,,,,,,,,,
1760,1762,Bellisarius (1762 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Bellisarius," 300, or 326(bm)",26, 1793: 10 × 6&4-pounder guns1796: 8 × 4-pounder guns1799: 4 × 4-pounder guns1805: 4 × 6-pounder guns,," 1762, or 1779,aSouth Carolina",,,, Last listed 1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,1764,Active (1764 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,,, 350(bm),,," Shoreham, Sussex",1764,,,,,, ship rig,,, Calvert & Co.,,,, May 1793 by a French privateer,,,,,,,,,,,,,,,,,,,,
1760,1767,Trelandvean (1767 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Trelandvean," 120 (bm), after lengthening in 1772",,,," 1767, Swansea",,,, Wrecked 22 December 1792,, Snow; laterbrig,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1770,Charming Sally (1779 ship),,,,,,,Massachusetts,,,,//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Naval_Ensign_of_Massachusetts.svg/47px-Naval_Ensign_of_Massachusetts.svg.png,,,, Charming Sally, c.300 (bm),70, 18–22 × 6 &/or 9-pounder guns,,,,,, Scuttled 14 August 1779,, sloop,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1770,Hope (1770 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Hope," 245,2or 300(bm)",,, Liverpool,1770,,,, Last listed in 1798,,,,, W. Wilton,,,,,,,,,,,,,,,,,,,,,,,,
1770,1770,Queen Charlotte (1770 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,,," 44,or 46,2or 703(bm)", 16 (1792), 1789: 4 guns1792: No guns, Ireland,1770,,,, Sold 1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1770,Sparrow (1777 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Sparrow," 147,2or 148, or 150 (bm)", 1799:251803:20, 1799:12 × 6&9-pounder guns1803:10 × 6-pounder guns1806:2 × 9-pounder + 6 × 6-pounder guns,," 1777, Bombaya",,,, Captured and burnt 1796,, Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1770,Syren (1770 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_the_British_East_India_Company_%281707%29.svg/47px-Flag_of_the_British_East_India_Company_%281707%29.svg.png,,,, Syren, 2503(bm),,, Bombay Dockyard2,1770,,,, Sold 1778,, snowa,,, BritishEast India Company(EIC),,,,,,,,,,,,,,,,,,,,,,,,
1770,1770,Tom (1792 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Tom, 1432(bm), 1793: 3521794: 182, 1793: 10 × 4-pounder guns + 2swivel guns21794: 12 × 4-pounder guns2,," 1780, America",,,,,,,,,,,,,1794,1792,,,,,,,,,,,,,,,,,,,
1770,1770,William (1770 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, William," 302,2or 305 (bm)",282, 1801:12 × 6-pounder guns + 2 ×swivel guns21802: 2 × 9-pounder + 8 × 4-pounder guns3,," 1770, France",,,, Last listed in theRegister of Shippingin 1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1771,Barbara (1771 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,,," 241,or 260 (bm)",28, 12 × 6-pounder guns + 2swivel guns, Philadelphia,1771,,,,,,,,,,,,, Late 1800,,,,,,,,,,,,,,,,,,,,
1770,1771,Chaser (1786 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, 1776:Lord North1782:Cotton Planter1784:Planter1786:Chaser," 200,2201,or 2023(bm)",, 1778: 4 × 4-pounder + 10 × 3-pounder guns1796: 10 × 6-pounder guns,," 1771, Philadelphia",,,, Condemned 1796,,,,, Various,,,, 1794 (and recaptured),,,,,,,,,,,,,,,,,,,,
1770,1771,Tom (1771 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Tom," pre-1780:100post-1780: 160, or 163, or 1702(bm)",, 14 × 4-pounder guns (1783),," 1771, Britain",,,, Condemned 1794,,,,, James Sawrey,,,,,,,,,,,,,,,,,,,,,,,,
1770,1772,Britannia (1772 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Britannia," 320,296,b(bm)", 1800:2051804:155, 1778:14 × 4-pounder guns61783:12 × 4-pounder guns1795:6 × 3-pounder guns71798:6 × 3-pounder guns + 6 × 12-pounder guns (of the New Construction; NC)31800:2 × 9-pounder + 6 × 12-pounder guns (NC)81800:12 × 12-pounder guns + 4swivel guns51804:8 × 12-pounder guns + 12 swivel guns51805:2 × 9-pounder guns + 8 × 9-poundercarronades91815:8 × 18-pounder carronades10," 1772,or 1773aSouth Carolina",,, Sails,, Last listed in 1816,, Brig,,, 1776:Graham & Co.1786:Simpson & Co.21798:Hill31810:Raines & Co.4,,,," 1798, and recaptured",,,,,,,,,,,,,,,,,,,,
1770,1772,Brothers (1785 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Brothers," 190,2or 200,3or 2014(bm)", 32–404, 1793: 12 × 4&6-pounder guns41794: 12 × 4-pounder guns,,1772,,,,,,,,, James Jonesa,,,, December 1794,,,,,,,,,,,,,,,,,,,,
1770,1773,Isabella (1773 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Isabella, 349 (bm),, 6 × 9-pounder guns, America,1793,,,, Last listed 1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1773,Queen (1773 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/51px-White_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Queen," 385,or 4002(bm)",25," 14 × 4-pounder, 9-pounder, and 12-pounder guns1797: 10 × 9-pounder + 2 × 12-pounder guns3",,1773,,,, Foundered December 1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1773,Tiger (1773 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Tiger," 1773: 200(bm)1779:227,2or 230,3or 2504(bm)",, 1781:2 × 3-pounder guns41795:4 × 4-pounder guns2, Maryland,1773,,,, Last listed 1796,,,,, 1776:J.H. Scheider1781:Jonathon Hall,,,,,,,,,,,,,,,,,,,,,,,,
1770,1774,Ranger (1786 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Ranger," 300, or 350(bm)",, 6 × 4-pounder guns (1781–1783),," 1774, Virginia",,,, Wrecked 1797,,,,,,,,,,1786,,,,,,,,,,,,,,,,,,,
1770,1774,Union (1774 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Union," 305,or 350,2or 351, or 359 (bm)", 50 (1778), 1776:10 × 4-pounder + 8 × 3-pounder guns1778: 16 × 4-pounder + 8swivel guns1781: 14 × 4-pounder guns, Philadelphia,1774,,,,,,,,,,,,,1781,,,,,,,,,,,,,,,,,,,,
1770,1775,Liberty (1787 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Liberty," 276,2or 3003(bm)",,,," 1775, Bristol",,,, Lost ca. late 1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1775,Tartar (1775 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Tartar," 70,or 902(bm)",802," 14 × 6-pounder guns,or 18 guns2",," 1775, Bermuda",,,,,, sloop,,,,,,, October 1800,,,,,,,,,,,,,,,,,,,,
1770,1775,Vernon (1779 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Vernon," 460, 470, or 500 (bm)",, 8 × 9-pounder + 12 × 6-pounder guns (1783),," 1775, Bordeaux",,,, Wrecked December 1792,,,,,,,,,, circa 1779,,,,,,,,,,,,,,,,,,,
1770,1776,Chambers (1776 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Chambers," 200, or 220, or 300,2or 350(bm)",, 1776:10 × 6-pounder + 2 × 9-pounder guns1779:12 × 6-pounder + 4 × 9-pounder guns, Bristol,1776,,,,,,,,,,,,, 7 October 1782,,,,,,,,,,,,,,,,,,,,
1770,1776,Gibraltar (1786 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,,," 304, or 306, or 350(bm)",, 6 × 6-pounder guns,," 1776, France",,,, Burnt after capture,,,,,,,,, February 1796,1786,,,,,,,,,,,,,,,,,,,
1770,1776,Intrepid (1787 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Intrepid," 340,or 366,2or 3832(bm)", 1799:3021801:5021804:552, 1793: 6 × 4-pounder guns1799: 18 × 9-pounder guns21801: 20 × 9&18-pounder cannons21804: 22 × 9–pounder + 2 × 6-pounder guns2, The Thames,1776,,,, Wrecked November 1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1777,Olive Branch (1788 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Olive Branch," 96,or 11023(bm)",,, North America,1777,,,, Last listed 1793,,,,,,,,,, c.1788,,,,,,,,,,,,,,,,,,,
1770,1777,Saville (1777 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Saville," 180, or 200,2or 250(bm)", Privateer: 1002Merchantman: 22, 1778: 20 × 6-pounder guns21781: 2 × 6-pounder guns,," 1777, Bristol",,,, Wrecked 26 August 1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1778,Neptune (1785 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Neptune," 213,or 218,23or 250,4or 3005(bm)",,,," 1778, Thirteen Colonies",,,, Sold c. 1786,,,,,,,,,,1785,,,,,,,,,,,,,,,,,,,
1770,1778,Tartar (1778 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Tartar," 110, or 160, or 200, or 250(bm)"," 70, or 120", 1778: 16 × 6-pounder guns + 10swivel guns1781: 16 × 9-pounder + 4 × 3-pounder guns,," 1778, Bristol",,,,,,,,,,,,,1782,,,,,,,,,,,,,,,,,,,,
1770,1779,Caledonia (1800 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Caledonia," 279, or 282,or 2912(bm)", 11 (1814), 2 guns,," 1779, Philadelphia",,,, Wrecked 18 September 1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1779,Fame (1779 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Fame," 420,5or 450,4or  4546(bm)",, 1779:12 × 9-pounder + 6 × 4-pounder guns1782:10 × 9-pounder + 6 × 6-pounder guns21799:4 × 6-pounder + 8 × 4-pounder guns1800:2 × 9-pounder + 8 × 6-pounder + 10 × 4-pounder guns71802:6 × 10 × 6-pounder guns + 10 × 4-pounder guns," Hillhouse, Bristol4",1779,, Sail,, Last listed inLloyds Registerin 1807,,,,, 1779:A. Clibourn1782:Long & Co.21796:Calvert & Co.3,,,,,,,,,,,,,,,,,,,,,,,,
1770,1779,General Keppel (1799 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Lune," 202,(bm)", 1799: 601801: 30, 1799: 18 × 9&18-pounder cannons1801: 16 × 9&18-pounder guns + 4 × 32-poundercarronades,," 1794, New Brunswick",,,,,, Brig,,,,,,,1800,,,,,,,,,,,,,,,,,,,,
1770,1779,London (1779 EIC ship),,,,,,,British East India Company,,,,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_the_British_East_India_Company_%281801%29.svg/47px-Flag_of_the_British_East_India_Company_%281801%29.svg.png,,,, London," 750,836,2or 8362⁄943(bm)", 1793: 701798: 70, 1793: 26 × 9&4-pounder guns1798: 22 × 32-poundercarronades+ 9-pounder guns," Perry, Blackwall",1779,,,, Broken up 1799,,,,, Voyages 1-4: John WebbVoyages 5-7: Robert Wigram,,,,,,,,,,,,,,,,,,,,,,,,
1770,1779,Molly (1770 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Molly," 200, or 254, or 280 (bm)",26, 1779: 18 × 6-pounder gun,," 1770, Liverpool",,,, Last listed 1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,1779,Speedy (1779 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Speedy, 313or 3203(bm),, 1799: 2 × 3-pounder guns41809: 14 × 6-poundercarronades5,," 1779, Thames",,,, Captured 1807; no longer listed after 1814,,,,," 1779-1805:Samuel Enderby & Sons1805 to c.1814: Swansby,2Swansea, or Swanzy3",,,,,,,,,,,,,,,,,,,,,,,,
1770,1779,Young William (1779 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Young William," 431,or 5002(bm)",, 6 × 9-pounder guns + 2 × 12-poundercarronades3, Whitby,1779,,,, Wrecked 1815,,,,, 1779:George Atty1785–1805:Various1814:Hall & Co.,,,,,,,,,,,,,,,,,,,,,,,,
1780,1780,Accomplished Quaker (1795 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Accomplished Quaker, 1892(bm),102, 8 × 6&9-pounder guns2,,1789,,,, Captured circa 1795,,,,,,,,,, 1795 by purchase of a prize,,,,,,,,,,,,,,,,,,,
1780,1780,African Queen (1792 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, African Queen, 27723(bm),, 16 × 4&3-pounder guns, Folkestone,1780,,,,,,,,, 1792:James Rodgers1794:John Anderson & Charles Young1795:John Anderson,,,, December 1795,,,,,,,,,,,,,,,,,,,,
1780,1780,Caledonia (1797 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Caledonia," 240, or 244, or 245,or 250 (bm)", 1798:251804:25, 1798:16 × 4&6&18-pounder cannons + 4swivel guns1800: 12 × 6&3-pounder guns + 2 × 18-poundercarronades1804: 10 × 12&9-pounder cannons, Spain,1780,,,, Last listed in 1813,,,,,,,,,, 1797 by purchase of a prize,,,,,,,,,,,,,,,,,,,
1780,1780,Clermont (1786 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,,," 257, or 278 (bm)",,," South Carolina, or New York",1786,,,, Last listed c. 1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,1780,Duke of York (1780 ship),,,,,,,Great Britain,,,,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg/47px-Red_Ensign_of_Great_Britain_%281707%E2%80%931800%29.svg.png,,,, Duke of York, 500 (bm),,, Archangel,1780,, Sail,, Lost 11 September 1787,,,,, Richard Cadman Etches,,,,,,,,,,,,,,,,,,,,,,,,
